id,title,org,year,url,type,jurisdiction,tier,notes,accessed,url_status
GOV-01,Intelligence Community OSINT Strategy 2024–2026,Office of the Director of National Intelligence (ODNI),2024,https://www.dni.gov/index.php/newsroom/reports-publications/reports-publications-2024/3897-the-ic-osint-strategy-2024-2026,government strategy,United States,1,"Authoritative public US IC strategy; frames OSINT as foundational intelligence discipline and emphasizes governance, discovery, AI/data, and tradecraft.",2026-06-08,browser_access_denied_or_bot_blocked; public landing page used
GOV-02,Open Source Enterprise,Central Intelligence Agency,current,https://www.cia.gov/about/organization/,government organizational description,United States,1,Public description of CIA open-source mission and all-source integration role.,2026-06-08,curl_200
GOV-03,Berkeley Protocol on Digital Open Source Investigations,OHCHR / UC Berkeley Human Rights Center,2022,https://www.ohchr.org/en/publications/policy-and-methodological-publications/berkeley-protocol-digital-open-source-investigations,UN methodology/protocol,international,1,"Canonical methodology for lawful, ethical, verifiable digital open-source investigations; excellent evidence handling and chain-of-custody guidance.",2026-06-08,curl_403_or_bot_blocked; public OHCHR landing page used
GOV-04,Berkeley Protocol publication page,Office of the UN High Commissioner for Human Rights,2022,https://www.ohchr.org/en/publications/policy-and-methodological-publications/berkeley-protocol-digital-open-source-investigations,UN publication page,international,1,Stable landing page for the Berkeley Protocol.,2026-06-08,curl_403_or_bot_blocked; public OHCHR landing page used
GOV-05,Open-source internet research,College of Policing,current,https://www.college.police.uk/app/investigation/investigative-strategies/internet-intelligence-and-investigations/open-source-internet-research,law-enforcement public guidance,United Kingdom,1,"Public UK policing guidance on internet research, proportionality, authorization, risk, and recordkeeping.",2026-06-08,curl_403
GOV-06,Internet intelligence and investigations,College of Policing,current,https://www.college.police.uk/app/investigation/investigative-strategies/internet-intelligence-and-investigations,law-enforcement public guidance,United Kingdom,1,Broader public UK guidance surrounding online investigative activity and governance.,2026-06-08,curl_403
GOV-07,Internet Organised Crime Threat Assessment (IOCTA) 2024,Europol,2024,https://www.europol.europa.eu/publication-events/main-reports/internet-organised-crime-threat-assessment-iocta-2024,government threat report,European Union,1,Useful for contemporary digital threat context and public cybercrime trend awareness; not a methodology manual.,2026-06-08,curl_200
GOV-08,ENISA Threat Landscape 2024,European Union Agency for Cybersecurity (ENISA),2024,https://www.enisa.europa.eu/publications/enisa-threat-landscape-2024,government threat report,European Union,1,Public threat landscape; supports lawful cyber/technical OSINT context and source triangulation.,2026-06-08,curl_200
GOV-09,Guidelines 8/2020 on the targeting of social media users,European Data Protection Board,2021,https://www.edpb.europa.eu/our-work-tools/our-documents/guidelines/guidelines-82020-targeting-social-media-users_en,data protection guidance,European Union,1,Important privacy/data protection boundary for social media data collection and processing.,2026-06-08,curl_200
GOV-10,Guide to the UK GDPR,Information Commissioner’s Office,current,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/,data protection guidance,United Kingdom,1,Privacy/legal boundary source for handling personal data found through OSINT.,2026-06-08,curl_200
GOV-11,Companies House Find and update company information,UK Companies House,current,https://find-and-update.company-information.service.gov.uk/,public registry,United Kingdom,1,Primary-source corporate registry; model for public-record verification.,2026-06-08,curl_200
GOV-12,SEC EDGAR Full Text Search,US Securities and Exchange Commission,current,https://www.sec.gov/edgar/search/,public registry,United States,1,"Primary-source corporate filings; relevant to entity OSINT, financial disclosures, and source hierarchy.",2026-06-08,curl_403
GOV-13,National Sex Offender Public Website,US Department of Justice,current,https://www.nsopw.gov/,public registry,United States,1,Official public registry; illustrates sensitive-record handling and official-source priority.,2026-06-08,curl_200
GOV-14,OFAC Sanctions List Search,US Treasury Office of Foreign Assets Control,current,https://sanctionssearch.ofac.treas.gov/,public registry,United States/international,1,Primary sanctions list source; useful for entity/name resolution and international records.,2026-06-08,curl_200
GOV-15,EU Sanctions Map,European Union,current,https://www.sanctionsmap.eu/,public registry,European Union/international,1,EU official sanctions source; use for primary-source verification.,2026-06-08,curl_200
GOV-16,Canada Business Registries search,"Innovation, Science and Economic Development Canada",current,https://beta.canadasbusinessregistries.ca/search,public registry,Canada,1,Canadian corporate registry search; useful for public-record OSINT.,2026-06-08,curl_000
GOV-17,Australian Business Register ABN Lookup,Australian Government,current,https://abr.business.gov.au/,public registry,Australia,1,Australian business identifier registry; primary source for entity verification.,2026-06-08,curl_404
GOV-18,New Zealand Companies Register,New Zealand Companies Office,current,https://companies-register.companiesoffice.govt.nz/,public registry,New Zealand,1,NZ corporate registry; supports cross-jurisdiction public-record workflows.,2026-06-08,curl_200
GOV-19,EUvsDisinfo methodology,EU East StratCom Task Force,current,https://euvsdisinfo.eu/methodology/,government/intergovernmental methodology,European Union,1,Public methodology for classifying and documenting disinformation cases; useful for verification taxonomy.,2026-06-08,curl_403
GOV-20,NATO Strategic Communications Centre of Excellence publications,NATO StratCom COE,current,https://stratcomcoe.org/publications/,intergovernmental/public research hub,NATO/Europe,1,"Public research on information environment, influence operations, and digital platforms; use selectively for OSINT context.",2026-06-08,curl_200
GOV-21,OSCE Representative on Freedom of the Media publications,OSCE,current,https://resources.osce.org/resources/publications,intergovernmental publications,OSCE region,1,"Useful for journalist safety, media freedom, and verification context; not OSINT-specific by itself.",2026-06-08,curl_200
ACAD-01,"The Not Yet Exploited Goldmine of OSINT: Opportunities, Open Challenges and Future Trends","Pastor-Galindo et al., IEEE Access",2020,https://ieeexplore.ieee.org/document/9139412,peer-reviewed academic article,global,2,"Survey of OSINT opportunities, challenges, and trends; useful for taxonomy and automation limits.",2026-06-08,curl_418
ACAD-02,Open Source Intelligence (OSINT): Issues for Congress,Congressional Research Service,2023,https://crsreports.congress.gov/product/pdf/R/R46389,government research report,United States,1,"Policy-oriented overview of OSINT definitions, governance, and IC issues.",2026-06-08,curl_403
ACAD-03,Information Disorder: Toward an interdisciplinary framework for research and policymaking,Wardle and Derakhshan / Council of Europe,2017,https://rm.coe.int/information-disorder-report-november-2017/1680764666,policy research report,Europe/global,2,"Canonical misinformation/disinformation taxonomy: misinformation, disinformation, malinformation; useful for verification sections.",2026-06-08,curl_403
ACAD-04,Defining “Fake News”: A typology of scholarly definitions,"Tandoc, Lim, and Ling, Digital Journalism",2018,https://doi.org/10.1080/21670811.2017.1360143,peer-reviewed academic article,global,2,Clarifies categories of false/misleading content; helps avoid sloppy labels.,2026-06-08,curl_403
ACAD-05,The spread of true and false news online,"Vosoughi, Roy, and Aral, Science",2018,https://doi.org/10.1126/science.aap9559,peer-reviewed academic article,global,2,Evidence on diffusion of false news; supports caution when using social signals as evidence.,2026-06-08,curl_403
ACAD-06,Misinformation and Its Correction: Continued Influence and Successful Debiasing,"Lewandowsky et al., Psychological Science in the Public Interest",2012,https://doi.org/10.1177/1529100612451018,peer-reviewed academic article,global,2,Useful for analyst-bias and correction sections.,2026-06-08,curl_403
ACAD-07,Fighting misinformation on social media using crowdsourced judgments of news source quality,"Pennycook and Rand, PNAS",2019,https://doi.org/10.1073/pnas.1806781116,peer-reviewed academic article,global,2,Source-quality judgments and crowd approaches; relevant to reliability but not sufficient alone.,2026-06-08,curl_403
ACAD-08,The science of fake news,"Lazer et al., Science",2018,https://doi.org/10.1126/science.aao2998,peer-reviewed academic article,global,2,Broad research agenda for online misinformation; supports platform-data limitations and governance awareness.,2026-06-08,curl_403
ACAD-09,OSINT as Part of Cyber Defense: systematic and survey literature,Various cyber OSINT survey literature,2018-2024,https://scholar.google.com/scholar?q=OSINT+cybersecurity+survey+open+source+intelligence,academic search route,global,2,"Search route for cyber OSINT papers; use to ground lawful technical reconnaissance, attack-surface awareness, and automation caveats.",2026-06-08,curl_403
ACAD-10,Social Media Intelligence: privacy and methodological concerns,Academic literature search route,2015-2026,https://scholar.google.com/scholar?q=social+media+intelligence+OSINT+privacy+methodology,academic search route,global,2,"Search route for social media intelligence literature; flag as search route, not a single source.",2026-06-08,curl_403
ACAD-11,Digital Open Source Investigations: methodological and evidentiary research,Academic literature search route,2018-2026,https://scholar.google.com/scholar?q=digital+open+source+investigations+evidence+chain+of+custody,academic search route,global,2,Search route complementing Berkeley Protocol; useful for future expansion.,2026-06-08,curl_403
PRO-01,Bellingcat Online Investigation Toolkit,Bellingcat,2024,https://bellingcat.gitbook.io/toolkit,professional practice resource,global,3,"Curated practical OSINT tool/resource list; use as tool landscape, not sole authority.",2026-06-08,curl_200
PRO-02,Bellingcat Guides and Resources,Bellingcat,current,https://www.bellingcat.com/category/resources/,professional practice hub,global,3,"Practice articles on geolocation, verification, archiving, and investigative workflows.",2026-06-08,curl_200
PRO-03,Online Research Tools,Global Investigative Journalism Network (GIJN),current,https://gijn.org/resource/online-research-tools/,professional practice resource,global,3,Journalism-oriented OSINT tool list and method route.,2026-06-08,curl_403
PRO-04,The Verification Handbook,European Journalism Centre / DataJournalism.com,current,https://verificationhandbook.com/,professional methodology handbook,global,3,Canonical verification workflow for user-generated content and online claims.,2026-06-08,curl_200
PRO-05,First Draft Essential Guide to Verifying Online Information,First Draft,current/archive,https://firstdraftnews.org/long-form-article/essential-guide-to-verifying-online-information/,professional methodology guide,global,3,Strong verification practices; note First Draft is no longer active but resources remain influential.,2026-06-08,curl_200
PRO-06,OCCRP Aleph,Organized Crime and Corruption Reporting Project,current,https://aleph.occrp.org/,investigative data platform,global,3,Investigative public/leaked-record search platform; use with source/context caution.,2026-06-08,curl_405
PRO-07,ICIJ Offshore Leaks Database,International Consortium of Investigative Journalists,current,https://offshoreleaks.icij.org/,investigative database,global,3,Public searchable database for offshore leaks; requires careful identity resolution and context.,2026-06-08,curl_200
PRO-08,Hunchly: OSINT workflow and capture tool resources,Hunchly,current,https://hunch.ly/,business-published practice resources,global,4,"Good for evidence capture and browser-based workflow practices; treat vendor content as practice-oriented, not neutral authority.",2026-06-08,curl_200
PRO-09,Maltego blog and resources,Maltego,current,https://www.maltego.com/blog/,business-published practice resources,global,4,Link-analysis and entity-resolution practice examples; vendor caveat applies.,2026-06-08,curl_200
PRO-10,Shodan Help Center,Shodan,current,https://help.shodan.io/,tool documentation,global,4,Useful for lawful internet-exposure discovery and query syntax; avoid exploit usage.,2026-06-08,curl_200
PRO-11,SpiderFoot documentation,SpiderFoot,current,https://github.com/smicallef/spiderfoot,tool documentation,global,4,"Automation tool docs; useful for describing collection automation, API keys, false positives, and scoping.",2026-06-08,curl_200
PRO-12,OSINT Framework,OSINT Framework community,current,https://osintframework.com/,community tool index,global,4,"Broad tool map; useful as discovery index, not authority.",2026-06-08,curl_200
PRO-13,OpenCorporates,OpenCorporates,current,https://opencorporates.com/,business/public-interest data platform,global,3,Corporate registry aggregator; verify critical findings against primary registries.,2026-06-08,curl_200
PRO-14,crt.sh Certificate Search,Sectigo / Certificate Transparency ecosystem,current,https://crt.sh/,public technical search,global,3,Certificate transparency search for domains/subdomains; useful for public infrastructure OSINT.,2026-06-08,curl_200
PRO-15,Internet Archive Wayback Machine,Internet Archive,current,https://web.archive.org/,archive platform,global,3,Core archiving and historical-web source; record snapshot dates and limitations.,2026-06-08,curl_200
PRO-16,Have I Been Pwned,Have I Been Pwned,current,https://haveibeenpwned.com/,breach notification service,global,3,Lawful breach-exposure checking without raw dump access; mainly self-audit/defensive.,2026-06-08,curl_200
PRO-17,Recorded Future threat intelligence resources,Recorded Future,current,https://www.recordedfuture.com/resources,business-published intelligence resources,global,4,Useful public reports on threat intelligence and OSINT-adjacent practices; vendor caveat.,2026-06-08,curl_200
PRO-18,Flashpoint resources,Flashpoint,current,https://flashpoint.io/resources/,business-published intelligence resources,global,4,Public reports can inform risk framing and collection categories; vendor caveat and avoid dark-web operational detail.,2026-06-08,curl_200
